"4G_RRC_SETUP_FAILURES_OVERALL","4G_4G2G_OUT_HO_FAILURES_SRVCC","4G_4G2G_OUT_HO_SUCC_RATE_SRVCC","4G_4G2G_OUT_HO_SUCC_SRVCC","4G_4G3G_OUT_HO_FAILURES_SRVCC","4G_4G3G_OUT_HO_SUCC_RATE_SRVCC","4G_4G3G_OUT_HO_SUCC_SRVCC","4G_4G4G_OUT_HO_FAILURES_OVERALL","4G_4G4G_OUT_HO_FAILURES_VOICE","4G_4G4G_OUT_HO_SUCC_OVERALL","4G_4G4G_OUT_HO_SUCC_RATE_OVERALL","4G_4G4G_OUT_HO_SUCC_RATE_VOICE","LTE_Avg_Cell_Throughput_DL_Mbps_LTE_1","LTE_Traffic_Volume_DL_GBytes_LTE_1","LTE_Traffic_Volume_UL_GBytes_LTE_1","4G_TRAFFIC_VOLUME_DL_OVERALL","4G_TRAFFIC_VOLUME_OVERALL","4G_TRAFFIC_VOLUME_UL_OVERALL","4G_HO_SRVCC_SUCCESSES","4G_BPCR_OVERALL_RRC_SUCC_MV_LN","4G_BPCR_OVERALL_eRAB_SUCC_MV_LN","4G_BPCR_OVERALL_eRAB_ATT_MV_LN","4G_OUT_HO_SRVCC_FAILURES_OVERALL","4G_OUT_HO_SUCC_RATE_SRVCC_OVERALL","4G_BPCR_DATA","4G_TRAFFIC_VOLUME_DL_DATA_NOK","4G_TRAFFIC_VOLUME_UL_DATA_NOK","4G_TRAFFIC_VOLUME_VOICE_NOK","4G_DL_MAX_THROUGHPUT_NOK","4G_HO_ATTEMPTS","4G_HO_ATTEMPTS_NOK","4G_HO_FAILURES","4G_HO_SRVCC_ATTEMPTS","4G_HO_SRVCC_ATTEMPTS_NOK","4G_RRC_SETUP_ATTEMPTS_OVERALL","4G_RRC_SETUP_SUCCESSES_OVERALL","4G_ERAB_SETUP_ATTEMPTS_DATA","4G_ERAB_SETUP_ATTEMPTS_VOICE","4G_ERAB_SETUP_SUCCESSES_DATA","4G_ERAB_SETUP_SUCCESSES_VOICE","4G_BPCR_OVERALL_NOK","4G_ERAB_SETUP_ATTEMPTS_OVERALL","4G_ERAB_SETUP_FAILURES_DATA","4G_ERAB_SETUP_FAILURES_OVERALL","4G_ERAB_SETUP_FAILURES_VOICE","4G_ERAB_SETUP_SUCCESS_RATE_DATA","4G_ERAB_SETUP_SUCCESS_RATE_OVERALL","4G_ERAB_SETUP_SUCCESS_RATE_VOICE","4G_ERAB_SETUP_SUCCESSES_OVERALL","4G_IMS_SIG_ATTEMPTS","4G_IMS_SIG_FAILURES","4G_IMS_SIG_SUCCESS_RATE","4G_IMS_SIG_SUCCESSES","4G_MIMO_SPATIAL_MUX_SHARE","4G_RRC_SETUP_SUCCESS_RATE_OVERALL","4G_S1_SETUP_ATTEMPTS_OVERALL","4G_S1_SETUP_FAILURES_OVERALL","4G_S1_SETUP_SUCC_RATE_OVERALL","4G_S1_SETUP_SUCCESSES_OVERALL","OUTPUT"
"1","0","100,000","1","0","0","0","0","0","115","100,000","100,000","8,759","39,409","0.1420 ","4","3.81","0","1","3256","5107","5107","0","100,000","0.030","3.67","0.14","2.51 ","38.7","115","115","0","1","1","3257","3256","2706","7","2706","7","0.030","5107","0","0","0","100,000","100,000","100,000","5107","2394","0","100,000","2394","38,660","99,970","3256","0","100,000","3256","0"
"0","0","100,000","1","0","0","0","0","0","153","100,000","100,000","3,987","17,947","28,952","2","4.57","3","1","3177","5003","5003","0","100,000","0.000","1.67","2.9","0.81 ","61.3","153","153","0","1","1","3177","3177","2735","14","2735","14","0.000","5003","0","0","0","100,000","100,000","100,000","5003","2254","0","100,000","2254","37,180","100,000","3177","0","100,000","3177","0"
"3","0","100,000","1","0","0","0","0","0","165","100,000","100,000","5,793","26,065","0.0687 ","2","2.5","0","1","2913","3806","3806","0","100,000","0.100","2.43","0.07","1.33 ","72.7","165","165","0","1","1","2916","2913","2076","3","2076","3","0.100","3806","0","0","0","100,000","100,000","100,000","3806","1727","0","100,000","1727","16,070","99,900","2913","0","100,000","2913","0"
"4","0","100,000","1","0","100,000","2","0","0","205","100,000","100,000","3,334","14,916","0.1613 ","1","1.55","0","3","2700","4616","4616","0","100,000","0.150","1.39","0.16","0.13 ","62","205","205","0","3","3","2704","2700","2742","4","2742","4","0.150","4616","0","0","0","100,000","100,000","100,000","4616","1870","0","100,000","1870","17,990","99,850","2700","0","100,000","2700","0"
"2","0","100,000","1","0","100,000","1","0","0","109","100,000","100,000","3,171","14,273","0.0756 ","1","1.4","0","2","1975","3177","3177","0","100,000","0.100","1.33","0.08","2.58 ","25","109","109","0","2","2","1977","1975","1699","6","1699","6","0.100","3177","0","0","0","100,000","100,000","100,000","3177","1472","0","100,000","1472","21,930","99,900","1975","0","100,000","1975","0"
"0","0","100,000","1","0","0","0","0","0","43","100,000","100,000","0.175 ","0.0789 ","0.0164 ","0","0.09","0","1","979","1324","1324","0","100,000","0.000","0.07","0.02","1.96 ","19.6","43","43","0","1","1","979","979","724","3","724","3","0.000","1324","0","0","0","100,000","100,000","100,000","1324","597","0","100,000","597","11,090","100,000","979","0","100,000","979","0"
"1","0","0","0","0","100,000","3","105","0","154","59,460","100,000","5,017","22,582","0.1584 ","2","2.26","0","3","3920","4259","4259","0","100,000","0.030","2.1","0.16","3.50 ","60.5","154","154","0","3","3","3921","3920","2314","11","2314","11","0.030","4259","0","0","0","100,000","100,000","100,000","4259","1934","0","100,000","1934","27,180","99,970","3920","0","100,000","3920","0"
"4","0","0","0","0","0","0","104","0","84","44,680","100,000","24,528","110,360","0.2032 ","10","10.48","0","0","4291","6475","6475","0","0","0.090","10.28","0.2","1.71 ","89.3","84","84","0","0","0","4295","4291","3614","5","3614","5","0.090","6475","0","0","0","100,000","100,000","100,000","6475","2856","0","100,000","2856","41,110","99,910","4291","0","100,000","4291","0"
"1","0","0","0","0","0","0","23","0","251","91,610","100,000","5,970","26,868","0.1794 ","3","2.68","0","0","5186","5629","5629","0","0","0.020","2.5","0.18","0.35 ","107.1","251","251","0","0","0","5187","5186","3118","9","3118","9","0.020","5629","0","0","0","100,000","100,000","100,000","5629","2502","0","100,000","2502","29,610","99,980","5186","0","100,000","5186","0"
"0","0","0","0","0","100,000","2","1","0","55","98,210","100,000","3,238","14,572","0.2806 ","1","1.64","0","2","360","484","484","0","100,000","0.000","1.36","0.28","0.09 ","34.1","55","55","0","2","2","360","360","298","3","298","3","0.000","484","0","0","0","100,000","100,000","100,000","484","183","0","100,000","183","27,400","100,000","360","0","100,000","360","0"
"0","0","0","0","0","0","0","0","0","194","100,000","100,000","12,129","54,589","0.5611 ","5","5.65","1","0","7614","11804","11804","0","0","0.000","5.08","0.56","1.23 ","141.1","194","194","0","0","0","7614","7614","6817","11","6817","11","0.000","11804","0","0","0","100,000","100,000","100,000","11804","4976","0","100,000","4976","62,740","100,000","7614","0","100,000","7614","0"
"1","0","0","0","0","0","0","0","0","109","100,000","0","12,554","56,502","0.2867 ","5","5.55","0","0","7411","11309","11309","0","0","0.010","5.26","0.29","1.54 ","51.5","109","109","0","0","0","7412","7411","6144","7","6144","7","0.010","11309","0","0","0","100,000","100,000","100,000","11309","5158","0","100,000","5158","58,380","99,990","7411","0","100,000","7411","0"
